0	금성의 표면 반사율이 높다는 것은 어떤 물질로 이루어져 있는 것인가요?
1	금성을 다른 행성들과 구별하는데 사용되는 특징은 무엇인가요?
2	금성이 태양으로부터 받은 햇빛을 어떻게 반사하여 지구에서 밝게 보이게 되는 건가요?
3	힘이 공에 가해지면 어떤 영향을 주나요?
4	힘이 공에 가해진 방향에 따라 어떻게 운동이 변하나요?
5	힘이 가해진 방향과 공의 운동 방향이 같은 경우에는 어떤 현상이 나타나나요?
6	전류가 흐르는 와이어 주변의 자기장이 형성되는 이유는 무엇인가요?
7	자기장 선이 와이어 주변에 형성되는 거리 간격은 어떻게 결정되나요?
8	전류의 세기가 자기장의 세기에 어떤 영향을 주나요?
9	동물들이 계절 변화에 대처하기 위한 생존 전략은 무엇일까요?
10	먹이 감소로 인해 동물들이 다른 지역으로 이주하는 과정에서 어떤 어려움을 겪을 수 있을까요?
11	인간의 활동으로 인해 동물들의 서식지가 파괴될 때, 동물들은 어떤 방식으로 새로운 서식지를 찾아가는 걸까요?
12	난관의 구조는 어떻게 되며, 어떤 기능을 하는가?
13	난관에서 정자와 난자가 만나 결합되는 과정은 어떻게 이루어지는가?
14	난관이 임신과 번식에 어떤 영향을 미치는가?
15	학교 버스가 많은 사람들의 관심과 주목을 받는 이유는 무엇인가요?
16	학교 버스가 학교의 상징이자 안전하고 편리한 이동 수단을 제공하는 방법은 무엇인가요?
17	학교 버스가 동일한 거리에 놓여 있을 때, 가장 큰 인력을 가질 수 있는 이유는 무엇인가요?
18	머클-담고르 해시 함수를 MAC으로 구성하는 방법이 취약한 이유는 무엇인가요?
19	H(k || m)를 이용한 MAC에서의 보안 취약점은 무엇인가요?
20	머클-담고르 해시 함수를 MAC으로 구성할 때 보안 측면에서 어떤 취약점이 있나요?
21	디엔에이 리가아제가 DNA 복제 과정에서 어떤 역할을 하는가?
22	디엔에이 리가아제의 작용 메커니즘은 어떻게 되는가?
23	디엔에이 리가아제의 연구가 어떻게 생명과학 분야에 영향을 미칠 것으로 기대되는가?
24	양적형질유전자좌 분석을 통해 어떤 유전적 다양성을 연구할 수 있나요?
25	특정 형질이나 질병과 연관된 유전자를 찾기 위해 양적형질유전자좌 분석은 어떻게 활용되나요?
26	양적형질유전자좌 분석을 통해 개발된 전략으로 어떻게 질병 예방이나 개선이 가능해지나요?
27	전력이 일정한 상황에서 램프의 개수를 늘리면 전류의 변화는 어떻게 될까?
28	램프를 병렬로 연결할 때 전류가 감소하는 이유는 무엇인가?
29	램프의 개수가 늘어남에 따라 전류의 분배는 어떻게 일어나는가?
30	시소에서 균형을 유지하기 위해 오빠와 여동생이 가하는 힘의 방향은 무엇인가요?
31	토크의 크기를 결정하는 요소는 무엇인가요?
32	오빠와 여동생이 시소에서 균형을 잡기 위해 필요한 조건은 무엇인가요?
33	지구와 달의 상호작용이 지구의 계절에 직접적인 영향을 미치지는 않지만, 그 외에 어떤 방식으로 상호작용하는지 알려주세요.
34	지구와 달의 상호작용이 지구의 자전 주기에 어떤 영향을 미치는지 자세히 설명해주세요.
35	만유인력의 법칙에 따라 지구와 달이 서로에게 인력을 행사하는데, 이것이 어떻게 지구와 달의 운동에 영향을 미치는지 설명해주세요.
36	지구 온난화의 영향을 최소화하기 위해 어떤 활동을 할 수 있을까요?
37	지구 온난화로 인한 해수면 상승이 어떤 문제를 야기할 수 있을까요?
38	지구 온난화에 대한 대응을 위해 어떤 정책이 필요한가요?
39	과일샐러드에 들어갈 수 있는 과일은 어떤 것들이 있나요?
40	과일샐러드를 만들 때 과일을 어떻게 선택해야 할까요?
41	과일샐러드를 먹을 때 각 과일의 특징과 맛을 동시에 즐길 수 있는 방법은 무엇인가요?
42	파리의 날개는 어떤 기능을 하고 있을까요?
43	파리가 생태계에서 어떤 중요한 역할을 하고 있을까요?
44	파리가 동물들의 먹이로서 어떻게 기여하고 있을까요?
45	솔레노이드의 자기장에 저장된 에너지를 계산하는 공식은 무엇인가요?
46	솔레노이드의 자기장에 저장된 에너지를 측정하는데 사용되는 단위는 무엇인가요?
47	솔레노이드의 자기장에 저장된 에너지를 증가시키기 위한 방법은 무엇이 있을까요?
48	친환경 공동체의 구성원들은 에너지 사용을 어떻게 절감하고 있나요?
49	친환경 공동체 내의 건물들은 어떤 재료로 지어졌으며, 어떤 에너지를 이용하여 쾌적한 온도를 유지하고 있나요?
50	친환경 공동체의 주민들은 어떤 교통 수단을 이용하여 환경을 보호하고 있나요?
51	어떤 종류의 생물체들이 표에 포함되어 있나요?
52	식물이 다른 생물체들에 비해 왜 더 많이 나타나는 것으로 보이나요?
53	이러한 정보가 어떻게 학생들의 생태학적 이해를 돕는데 도움이 될까요?
54	하구퇴적지가 바다의 보육원으로 불리는 이유는 무엇인가요?
55	하구퇴적지가 다양한 해양 생물들이 서식할 수 있는 이유는 무엇인가요?
56	하구퇴적지가 생물들에게 영양을 공급하는 특징은 무엇인가요?
57	암석권이 행성의 구조와 지질학적 현상에 어떤 영향을 미치나요?
58	암석권이 행성의 내부 구조를 이해하는데 어떤 중요한 정보를 제공하나요?
59	지각과 맨틀은 어떻게 다른 기능을 하는데, 이러한 차이가 왜 중요한가요?
60	칼리시바이러스과의 바이러스가 호스트 세포에 어떻게 침투하는지에 대해 자세히 설명해 주실 수 있나요?
61	칼리시바이러스과의 바이러스가 호스트 세포의 생리학적 기능을 어떻게 간섭하는지 알려주실 수 있을까요?
62	칼리시바이러스과의 바이러스가 호스트 세포의 면역 시스템을 회피하기 위해 사용하는 다양한 전략에 대해 알려주실 수 있을까요?
63	전자와 양성자가 1.0 T 자기장에서 상호작용할 때 분극 에너지의 변화는 어떤 영향을 미치는가?
64	300 K에서 전자와 양성자의 에너지 분포에 어떤 영향을 미치는 요인은 무엇인가?
65	자기장의 강도가 변할 때 전자와 양성자의 평형 분극 비율은 어떻게 변화하는가?
66	중성자는 원자핵의 안정성과 핵반응에 어떤 영향을 미치나요?
67	중성자는 핵융합 반응에서 어떤 역할을 하며, 어떻게 에너지를 생성하나요?
68	중성자가 핵물리학과 핵공학 등 다양한 분야에서 왜 중요한 개념으로 여겨지나요?
69	후두신경 손상의 증상은 무엇인가요?
70	후두경검사를 통해 어떤 현상을 확인할 수 있나요?
71	윤상갑상근과 피열간근의 역할은 무엇이며, 후두신경 손상 시 어떤 변화가 일어나나요?
72	식물 씨앗의 발아를 도와주는 영양분은 무엇인가요?
73	씨앗의 외부 껍질은 어떻게 식물을 보호하고 안전하게 자라날 수 있도록 도와주나요?
74	환경 조건에 따라 씨앗이 발아하는 시기를 조절하는 메커니즘은 무엇인가요?
75	강이 협곡과 계곡을 형성하는 과정에는 어떤 요소들이 작용하나요?
76	강물이 지형을 깊게 파고들어 협곡을 형성하는 과정에서 어떤 변화가 일어나나요?
77	강물의 힘은 어떻게 계곡과 협곡의 형성에 영향을 미치나요?
78	대뇌의 어떤 부분이 기억 상실과 관련이 있는가?
79	대뇌의 구조와 기능이 원활하게 작동하지 않을 때 어떤 종류의 기억 상실이 발생할 수 있는가?
80	기억 상실을 예방하기 위해 대뇌의 어떤 부분을 특히 관리해야 하는가?
81	폭풍을 쫓는 자들은 어떤 방식으로 폭풍의 초기 조건과 환경 요소를 수집하고 분석하는가요?
82	폭풍을 관찰하고 측량하기 위해 폭풍에 가까이 다가가는 것은 어떤 위험을 가지고 있나요?
83	폭풍 형성 이론을 수정하고 개선하는 데 폭풍을 쫓는 자들이 어떤 종류의 데이터를 주로 활용하나요?
84	엔진 오일을 안전하게 폐기하는 방법은 무엇인가요?
85	엔진 오일을 폐기할 때 주의해야 하는 환경적인 측면은 무엇인가요?
86	정부와 기업이 엔진 오일을 안전하게 처리하기 위해 어떤 노력을 해야 하나요?
87	특정한 상염색체 열성 특성을 표현하지 않는 매개체의 비율이 왜 하디-바인베르크 평형 상태에서의 인구의 특성을 고려하여 계산되는 건가요?
88	하디-바인베르크 평형 상태란 무엇이고, 왜 유전자 주파수가 변하지 않는 상태인가요?
89	특정한 상염색체 열성 특성을 표현하는 인구의 비율이 1%인데, 이 비율이 왜 유전자 주파수가 변하지 않는 상태에서의 인구의 특성과 연관이 있는 건가요?
